Output 1_words,Output 2_words,Output 3_words,Output 4_words,Output 5_words,Output 6_words,Output 7_words,Output 8_words,Output 9_words,Output 10_words,outputs_n,outputs_mean,outputs_median
75,79,47,69,69,54,56,42,64,50,10,60.5,60.0
21,31,17,35,29,20,23,26,15,36,10,25.3,24.5
38,54,31,44,51,47,41,33,39,46,10,42.4,42.5
5,5,5,5,5,5,5,5,5,5,10,5.0,5.0
