Row,notion_output_word_stats_3,notion_output_word_stats_Persona1,notion_output_word_stats_Persona2,notion_output_word_stats_Persona3
row1,60.5,69.9,59.5,60.0
row2,25.3,25.4,29.3,25.5
row3,42.4,47.8,43.9,56.9
row4,5.0,5.0,5.0,5.0
