Output 1_words,Output 2_words,Output 3_words,Output 4_words,Output 5_words,Output 6_words,Output 7_words,Output 8_words,Output 9_words,Output 10_words,outputs_n,outputs_mean,outputs_median
59,74,57,50,71,69,65,69,61,124,10,69.9,67.0
15,25,28,27,36,19,19,31,32,22,10,25.4,26.0
55,44,49,47,35,47,59,50,59,33,10,47.8,48.0
5,5,5,5,5,5,5,5,5,5,10,5.0,5.0
