Output 1_words,Output 2_words,Output 3_words,Output 4_words,Output 5_words,Output 6_words,Output 7_words,Output 8_words,Output 9_words,Output 10_words,outputs_n,outputs_mean,outputs_median
44,70,35,48,34,76,70,54,65,99,10,59.5,59.5
35,26,28,33,32,29,14,27,35,34,10,29.3,30.5
39,51,41,43,39,47,43,47,44,45,10,43.9,43.5
5,5,5,5,5,5,5,5,5,5,10,5.0,5.0
