Output 1_words,Output 2_words,Output 3_words,Output 4_words,Output 5_words,Output 6_words,Output 7_words,Output 8_words,Output 9_words,Output 10_words,outputs_n,outputs_mean,outputs_median
71,58,35,51,56,67,64,61,66,71,10,60.0,62.5
22,30,22,30,24,21,23,36,24,23,10,25.5,23.5
90,62,56,35,94,53,51,48,48,32,10,56.9,52.0
5,5,5,5,5,5,5,5,5,5,10,5.0,5.0
